ILCE,KAPINO,ENLEM,ACIKLAMA,ILCEID,MAHALLE,MAHALLEID,ADI,BOYLAM,YOL,dist_m,risk_band
TORBALI,,38.268912139628,3528-062-01,9,YOĞURTÇULAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.282998468924,6451 SOKAK,2623.5708376567463,Düşük
TORBALI,,38.171912810182,3528-050-01,9,TAŞKESİK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.445197810599,6375 SOKAK,1364.4250762465037,Düşük
GÜZELBAHÇE,,38.373821776898,3514-009-01,1,SİTELER,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.873864734142,368,7685.718041674274,Güvenli
SELÇUK,,37.885670259451,3526-007-01,10,ÇAMLIK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.380196594062,ÇAMLIK ATATÜRK CAD.,10137.719344878156,Güvenli
KEMALPAŞA,,38.385601600554,3517-049-01,6,YUKARIKIZILCA MERKEZ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.498466765248,İZMİR CAD. VE YUKARI KIZILCA BELEDİYE CAD. KESİŞİMİ,4686.432972514008,Düşük
TORBALI,,38.210012577557,3528-013-01,9,ÇAMLICA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.412197915094,ÇAMLICA MAHALLESİ ÇAMLICA KÖYİÇİ YOLU,3554.862153768155,Düşük
TORBALI,,38.271112211831,3528-009-01,9,BOZKÖY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.365598050051,BOZKÖY MAHALLESİ 6101 SOKAK,6352.156149712075,Güvenli
TİRE,,38.135441401521,3527-089-01,997,KAHRAT,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.863297771607,KAHRAT MAH. ABDİ İPEKÇİ CD. NU:1,401.4563799013573,Yüksek
TİRE,,38.082320552358,3527-033-01,997,DUMLUPINAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.726281535638,DUMLUPINAR MAH. ŞANİZADE CD. NU:1,2462.4638580329893,Düşük
BAYRAKLI,,38.480746890832,3530-017-01,11,ORG.NAFİZ GÜRMAN,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.137022844431,7170,4218.279822084543,Düşük
BERGAMA,,39.118827112899,3505-052-01,999,GAZİPAŞA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.17755769349,ÇIBANDEDE SOK.VE AKINCILAR CAD. KESİŞİMİ,3301.2688567840055,Düşük
BUCA,,38.370833469173,3508-044-01,8,YEŞİLBAĞLAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.147313978194,637/16 SOKAK VE 637/35 SOKAK ARASI,1835.9599370482447,Düşük
ALİAĞA,,38.752004598079,3502-006-01,3,ÇAKMAKLI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.909662371949,10/36,3467.421706965813,Düşük
