ILCE;KAPINO;ENLEM;ACIKLAMA;ILCEID;MAHALLE;MAHALLEID;ADI;BOYLAM;YOL
BERGAMA;;39.126707670858;3505-111-01;999;SELÇUK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.177197537217;KOZAK YOLU ÜZERİ ESKİ ELEKTRİK SANTRALİ BAHÇESİ
KİRAZ;;38.217940428603;3519-022-01;994;İĞDELİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.380157153377;İĞDELİ
NARLIDERE;;38.392241749422;3523-004-01;5;ÇAMTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.011945454919;KAYHAN
TORBALI;;38.146808532925;3528-033-01;9;KARŞIYAKA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.371330768065;BEKİR SAKARYA
TİRE;;38.086071554948;3527-032-01;997;DUATEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.749724412082;KANLIKAVAK
KARŞIYAKA;;38.461596990088;3516-006-01;20;BAHRİYE ÜÇOK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.10819863645;GİRNE
ÖDEMİŞ;;38.253727046864;3524-019-01;998;CEVİZALAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.119289234065;CEVİZALAN
DİKİLİ;;39.076639332204;3511-003-01;995;CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.890406024454;304
GAZİEMİR;;38.319220791162;3513-003-01;15;ATIFBEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.130592232732;FERİDUN PÖZÜT
TORBALI;;38.146242234691;3528-006-01;9;KARŞIYAKA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.372463377789;BEKİR SAKARYA
ÖDEMİŞ;;38.241289192693;3524-093-01;998;YENİCEKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.950044223057;YENİCEKÖY
KİRAZ;;38.184228575652;3519-042-01;994;SOLAKLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.34652535574;SOLAKLAR
MENEMEN;;38.584099312424;3522-064-01;17;YEŞİL PINAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.0926128879;ŞAİR MEHMET AKİF ERSOY
MENEMEN;;38.588097863238;3522-067-01;17;ZEYTİNLİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.075583833303;9021/1
MENDERES;;38.076551845234;3521-026-01;13;GÜMÜLDÜR CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.990413266015;6447
TİRE;;38.047987579498;3527-016-01;997;BÜYÜKKEMERDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.78962744921;BÜYÜKKEMERDERE TİRE
BUCA;;38.391072045093;3508-025-01;8;İNKILAP;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.148660718739;504
BORNOVA;;38.416959286566;3507-032-01;2;MERKEZ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.201307631586;FEVZİ PAŞA
